"","party_deputy","year","rice_index"
"206","PROS",2016,80.2580403889304
"207","PROS",2017,70.2698412698413
"208","PROS",2018,60.0752191423833
"209","PROS",2019,62.1958509142053
"210","PROS",2020,72.6354338150113
"211","PRP",2005,100
"212","PRP",2011,100
"213","PRP",2012,96.4285714285714
"214","PRP",2013,92.9824561403509
"215","PRP",2014,98.4126984126984
"216","PRP",2015,84.469696969697
"217","PRP",2016,100
"218","PRP",2017,100
"219","PRP",2018,100
"220","PRP",2019,94.1520467836257
"221","PRTB",2007,100
"222","PRTB",2008,100
"223","PRTB",2011,98.5915492957746
"224","PRTB",2012,100
"225","PRTB",2013,100
"226","PRTB",2015,100
"227","PRTB",2016,100
"228","PSB",2002,82.6210826210826
"229","PSB",2003,98.2645190562613
"230","PSB",2004,94.8759015080473
"231","PSB",2005,89.5265535459233
"232","PSB",2006,84.9070027914974
"233","PSB",2007,89.3746856810369
"234","PSB",2008,92.9567257305545
"235","PSB",2009,85.9345845915401
"236","PSB",2010,88.1015789400337
"237","PSB",2011,92.2276535357402
"238","PSB",2012,85.7383536767654
"239","PSB",2013,82.892434142636
"240","PSB",2014,91.5666318445966
"241","PSB",2015,72.3395042898356
"242","PSB",2016,76.2098915690244
"243","PSB",2017,60.4892436802264
"244","PSB",2018,85.8372618284363
"245","PSB",2019,63.5617456743553
"246","PSB",2020,79.4509176100136
"247","PSC",2002,75
"248","PSC",2003,98.3870967741936
"249","PSC",2004,96.8544600938967
"250","PSC",2005,79.1472868217054
"251","PSC",2006,82.1428571428571
"252","PSC",2007,92.4314574314574
"253","PSC",2008,95.252292510357
"254","PSC",2009,86.7832337297986
"255","PSC",2010,90.8474609967147
"256","PSC",2011,90.4083769648872
"257","PSC",2012,90.8419445138195
"258","PSC",2013,84.8395661715334
"259","PSC",2014,88.6794445490098
"260","PSC",2015,67.4703783645389
"261","PSC",2016,84.7384097384097
"262","PSC",2017,74.4534116676974
"263","PSC",2018,69.2181947405828
"264","PSC",2019,84.3834719072814
"265","PSC",2020,86.2608987256875
"266","PSD",2002,83.3333333333333
"267","PSD",2011,97.2275106346189
"268","PSD",2012,86.078371695766
"269","PSD",2013,85.3729164983579
"270","PSD",2014,89.2298621559385
"271","PSD",2015,74.078642253619
"272","PSD",2016,83.7742690592229
"273","PSD",2017,82.3078320324899
"274","PSD",2018,86.9005940380635
"275","PSD",2019,86.5821832516608
"276","PSD",2020,86.7247334362854
"277","PSDB",2002,95.3826459332274
"278","PSDB",2003,80.3863759285719
"279","PSDB",2004,78.3897281750087
"280","PSDB",2005,82.1460763251881
"281","PSDB",2006,91.2831609308026
"282","PSDB",2007,85.360207729668
"283","PSDB",2008,89.4538094963252
"284","PSDB",2009,82.6257658179008
"285","PSDB",2010,89.078324574414
"286","PSDB",2011,91.7362600996322
"287","PSDB",2012,84.0799437309364
"288","PSDB",2013,82.9182558652766
"289","PSDB",2014,92.9844276393649
"290","PSDB",2015,89.7083836781535
"291","PSDB",2016,90.3671606379412
"292","PSDB",2017,86.8492986920342
"293","PSDB",2018,90.383026280568
"294","PSDB",2019,87.8403222375419
"295","PSDB",2020,86.4324723232695
"296","PSDC",2014,100
"297","PSDC",2015,84.6743295019157
"298","PSL",2002,100
"299","PSL",2003,100
"300","PSL",2004,100
"301","PSL",2005,100
"302","PSL",2011,95.8904109589041
"303","PSL",2012,100
"304","PSL",2013,100
"305","PSL",2015,100
"306","PSL",2016,96.7741935483871
"307","PSL",2017,92.1768707482993
"308","PSL",2018,92.5170068027211
"309","PSL",2019,95.2671505690043
"310","PSL",2020,90.4613209311435
"311","PSOL",2005,96.875
"312","PSOL",2006,96.031746031746
"313","PSOL",2007,99.3527508090615
"314","PSOL",2008,99.2831541218638
"315","PSOL",2009,96.505376344086
"316","PSOL",2010,90.9090909090909
"317","PSOL",2011,97.1887550200803
"318","PSOL",2012,98.9247311827957
"319","PSOL",2013,97.7346278317152
"320","PSOL",2014,98.989898989899
"321","PSOL",2015,97.8799489144317
"322","PSOL",2016,98.6261261261261
"323","PSOL",2017,99.6078431372549
"324","PSOL",2018,98.2
"325","PSOL",2019,97.2473761818024
"326","PSOL",2020,96.5827961461149
"327","PST",2002,100
"328","PT",2002,98.0769230769231
"329","PT",2003,96.7399147330219
"330","PT",2004,95.7572917885068
"331","PT",2005,93.5219101276858
"332","PT",2006,91.8029089099016
"333","PT",2007,97.8174311517299
"334","PT",2008,97.7624507748979
"335","PT",2009,96.4960002582802
"336","PT",2010,90.7585018055494
"337","PT",2011,96.7631548661414
"338","PT",2012,95.1233766950262
"339","PT",2013,90.4964062948963
"340","PT",2014,91.7237049599945
"341","PT",2015,90.8217908088974
"342","PT",2016,95.6979136431574
"343","PT",2017,91.346365925116
"344","PT",2018,90.7436528279801
"345","PT",2019,95.9409593143813
"346","PT",2020,96.8305837064388
"347","PTB",2002,86.4197530864198
"348","PTB",2003,89.414342181359
"349","PTB",2004,88.6528120583487
"350","PTB",2005,82.2051493875003
"351","PTB",2006,89.9729959682057
"352","PTB",2007,87.4852429794857
"353","PTB",2008,89.0460881447599
"354","PTB",2009,86.4251729939177
"355","PTB",2010,91.0241960263909
"356","PTB",2011,90.0874848994653
"357","PTB",2012,82.0547283598754
"358","PTB",2013,77.149863422766
"359","PTB",2014,86.6111826981392
"360","PTB",2015,64.9337631251081
"361","PTB",2016,85.0527993744236
"362","PTB",2017,77.0419894453508
"363","PTB",2018,88.6102081997604
"364","PTB",2019,89.3126107366614
"365","PTB",2020,91.9404304615572
"366","PTC",2006,100
"367","PTC",2007,88.477366255144
"368","PTC",2008,100
"369","PTC",2009,82.4858757062147
"370","PTC",2010,81.2865497076023
"371","PTC",2011,100
"372","PTC",2012,100
"373","PTC",2015,87.5486381322957
"374","PTC",2016,100
"375","PTC",2019,73.6842105263158
"376","PTdoB-AVANTE",2007,100
"377","PTdoB-AVANTE",2008,100
"378","PTdoB-AVANTE",2009,100
"379","PTdoB-AVANTE",2010,100
"380","PTdoB-AVANTE",2011,95.5056179775281
"381","PTdoB-AVANTE",2012,90.1234567901235
"382","PTdoB-AVANTE",2013,92.9663608562691
"383","PTdoB-AVANTE",2014,95.6989247311828
"384","PTdoB-AVANTE",2015,93.2
"385","PTdoB-AVANTE",2016,64.4736842105263
"386","PTdoB-AVANTE",2017,55.7097288676236
"387","PTdoB-AVANTE",2018,53.6448263515933
"388","PTdoB-AVANTE",2019,67.5557564798071
"389","PTdoB-AVANTE",2020,65.9557344064386
"390","PTN-PODEMOS",2015,68.30900243309
"391","PTN-PODEMOS",2016,78.7820067094679
"392","PTN-PODEMOS",2017,60.3771413771414
"393","PTN-PODEMOS",2018,76.7203105888356
"394","PTN-PODEMOS",2019,71.8126318126318
"395","PTN-PODEMOS",2020,68.6874275958783
"396","PV",2002,100
"397","PV",2003,75.8333333333333
"398","PV",2004,82.3004694835681
"399","PV",2005,83.3982683982684
"400","PV",2006,84.7359307359307
"401","PV",2007,87.1733147434082
"402","PV",2008,93.8089432917019
"403","PV",2009,87.4805979317258
"404","PV",2010,86.1516758531684
"405","PV",2011,80.3890865688619
"406","PV",2012,80.0957420005039
"407","PV",2013,80.6111111111111
"408","PV",2014,86.5079365079365
"409","PV",2015,62.4533403104832
"410","PV",2016,84.2534722222222
"411","PV",2017,84.1467304625199
"412","PV",2018,87.9874213836478
"413","PV",2019,74.2574257425743
"414","PV",2020,66.9611307420495
"415","REDE",2015,89.8484848484848
"416","REDE",2016,85.1531531531532
"417","REDE",2017,85.6823266219239
"418","REDE",2018,90.6666666666667
"419","REDE",2019,100
"420","REDE",2020,100
"421","REPUBLICANOS",2019,94.8040751908089
"422","REPUBLICANOS",2020,94.9716070869149
"423","S.PART.",2003,100
"424","S.PART.",2004,88.546918767507
"425","S.PART.",2005,62.3655913978495
"426","S.PART.",2006,78.6666666666667
"427","S.PART.",2007,96.078431372549
"428","S.PART.",2009,100
"429","S.PART.",2011,100
"430","S.PART.",2013,98.3333333333333
"431","S.PART.",2015,100
"432","S.PART.",2016,91.8518518518518
"433","S.PART.",2017,100
"434","S.PART.",2018,95.2380952380952
"435","S.PART.",2019,100
"436","SD",2014,87.0319768810481
"437","SD",2015,80.6189168877018
"438","SD",2016,82.4185871108948
"439","SD",2017,77.2339115910545
"440","SD",2018,83.1576093889527
"441","SDD",2013,73.6436384965797
"442","SDD",2014,81.2542126803587
"443","SOLIDARIEDADE",2019,90.3043089119038
"444","SOLIDARIEDADE",2020,89.917975217271
